2005,Sharks' Teeth,/poetsorg/poem/sharks-teeth,Kay Ryan,Cities
2004,In Paris,/poetsorg/poem/paris,Carl Dennis,Cities
2010,Mean Free Path [excerpt],/poetsorg/poem/mean-free-path-excerpt,Ben Lerner,Cities
2009,We Address,/poetsorg/poem/we-address,Norma Cole,Cities
2007,Atlantic City Sunday Morning,/poetsorg/poem/atlantic-city-sunday-morning,Gregory Pardlo,Cities
2005,Still Another Day: XVII/Men,/poetsorg/poem/still-another-day-xviimen,Pablo Neruda,Cities
2003,"With My Back to City Hall, On Yom Kippur",/poetsorg/poem/my-back-city-hall-yom-kippur,Jordan Davis,Cities
2003,It Was Going on Five in the Morning,/poetsorg/poem/it-was-going-five-morning,André Breton,Cities
1998,The Cities Inside Us,/poetsorg/poem/cities-inside-us,Alberto Ríos,Cities
1988,For the Poem Paterson [3. St. Valentine],/poetsorg/poem/poem-paterson-3-st-valentine,William Carlos Williams,Cities
1986,The Chicago Poem,/poetsorg/poem/chicago-poem,Jerome Rothenberg,Cities
1980,The City,/poetsorg/poem/city-0,C. P. Cavafy,Cities
2002,He Dreams of Falling,/poetsorg/poem/he-dreams-falling,Ruth Ellen Kocher,Cities
1996,Haircut,/poetsorg/poem/haircut,Elizabeth Alexander,Cities
1986,The City Limits,/poetsorg/poem/city-limits,A. R. Ammons,Cities
1984,This City,/poetsorg/poem/city,Liam Rector,Cities
1974,And the City Stood in its Brightness (audio only),/poetsorg/poem/and-city-stood-its-brightness-audio-only,Czeslaw Milosz,Cities
1973,California Plush,/poetsorg/poem/california-plush,Frank Bidart,Cities
1922,Quai de la Tournelle,/poetsorg/poem/quai-de-la-tournelle,John Dos Passos ,Cities
1920,Scandal,/poetsorg/poem/scandal,Lola Ridge,Cities
1917,Morning at the Window,/poetsorg/poem/morning-window,T. S. Eliot,Cities
1916,Images,/poetsorg/poem/images,Richard Aldington,Cities
1926,In a Station of the Metro,/poetsorg/poem/station-metro,Ezra Pound,Cities
1922,The City's Love,/poetsorg/poem/citys-love,Claude McKay,Cities
1918,Prayers of Steel,/poetsorg/poem/prayers-steel,Carl Sandburg,Cities
1917,From a Bridge Car,/poetsorg/poem/bridge-car,Elias Lieberman,Cities
1913,Block City,/poetsorg/poem/block-city,Robert Louis Stevenson,Cities
1888,City Visions ,/poetsorg/poem/city-visions,Emma Lazarus,Cities
,Paris,/poetsorg/poem/paris-0,Willa Cather,Cities
1807,"Composed Upon Westminster Bridge, September 3, 1802",/poetsorg/poem/composed-upon-westminster-bridge-september-3-1802,William Wordsworth,Cities
2015,Summer Solstice,/poetsorg/poem/summer-solstice,Rose  Styron,Love
2017,Exhibit 1,/poetsorg/poem/exhibit-1,Susan Barba,Love
1840,Wedding Bells,/poetsorg/poem/wedding-bells,Eliza Cook,Love
2014,Once All the Hounds Had Been Called Home,/poetsorg/poem/once-all-hounds-had-been-called-home,Meg Day,Love
2017,Morning Voices,/poetsorg/poem/morning-voices,Ed Falco,Love
2017,What Seems Like Joy,/poetsorg/poem/what-seems-joy,Kaveh Akbar,Love
2017,Ways to Harm a Thing,/poetsorg/poem/ways-harm-thing,Kaveh Akbar,Love
2017,The Imprint,/poetsorg/poem/imprint,Jennifer Moxley,Love
2017,The Silver Thread,/poetsorg/poem/silver-thread,Afaa Michael Weaver,Love
2017,Praisesong,/poetsorg/poem/praisesong,Sarah Browning,Love
2017,Love Story,/poetsorg/poem/love-story,Marilyn Chin,Love
2017,Headwind,/poetsorg/poem/headwind,Amber Flora Thomas,Love
2017,"Poem Number Two on Bell’s Theorem, or The New Physicality of Long Distance Love",/poetsorg/poem/poem-number-two-bells-theorem-or-new-physicality-long-distance-love,June Jordan,Love
2017,from “Back on Earth”,/poetsorg/poem/back-earth,Brent Cunningham,Love
1848,Song,/poetsorg/poem/song-9,John Rollin Ridge,Love
2017,The moon rose over the bay. I had a lot of feelings.,/poetsorg/poem/moon-rose-over-bay-i-had-lot-feelings,Donika Kelly,Love
1917,At the Last,/poetsorg/poem/last-2,Witter Bynner,Love
2017,Poem for Haruko,/poetsorg/poem/poem-haruko,June Jordan,Love
2017,Of the Irresolubleness of Diamonds,/poetsorg/poem/irresolubleness-diamonds,Monica Ferrell,Love
1848,Song,/poetsorg/poem/song-10,John Rollin Ridge,Love
2017,[(symbol)’s really beautiful. When (symbol)’s standing in the trees],/poetsorg/poem/symbols-really-beautiful-when-symbols-standing-trees,Gabrielle Calvocoressi,Love
1996,6.3.96-6.4.96,/poetsorg/poem/6396-6496,June Jordan,Love
2017,What Dreams May Be,/poetsorg/poem/what-dreams-may-be,Charlene Fix,Love
2017,Staring into the Sun,/poetsorg/poem/staring-sun,Jennifer Grotz,Love
2017,"& even the black guy’s profile reads 'sorry, no black guys'",/poetsorg/poem/even-black-guys-profile-reads-sorry-no-black-guys,Danez Smith,Love
2017,After Hours,/poetsorg/poem/after-hours,Howard Altmann,Love
2017,Essay: On Love,/poetsorg/poem/essay-love,Ed Falco,Love
2017,Siberian,/poetsorg/poem/siberian,Jill Osier,Love
2017,May,/poetsorg/poem/may-0,Geoffrey G. O'Brien,Love
2017,[another poet],/poetsorg/poem/another-poet,,Love
2017,For You,/poetsorg/poem/you-0,Maureen N. McLane,Love
2017,Fledgling,/poetsorg/poem/fledgling,Traci Brimhall,Love
2001,The Great Tsunami,/poetsorg/poem/great-tsunami,Michele Wolf,Love
2008,"These Hands, These Roots",/poetsorg/poem/these-hands-these-roots,John Olivares Espinoza,Love
